loudness,acousticness
-4.61,0.00284
-3.289,0.00453
-7.605,0.00578
-7.363,0.32
-8.296,0.0351
-3.598,0.145
-6.885,0.0562
-6.756,0.179
-11.727,0.866
-6.565,0.125
-6.96,0.622
-6.74,0.072
-4.464,0.0656
-14.154,0.154
-4.956,0.0126
-6.528,0.0996
-8.138,0.479
-11.053,0.0164
-12.385,0.367
-10.638,0.628
-12.983,0.175
-8.13,0.0105
-11.334,0.716
-6.038,0.634
-13.246,0.126
-6.457,0.204
-10.662,0.575
-5.86,0.0332
-7.115,0.848
-5.999,0.0862
-10.247,0.307
-2.134,0.185
-6.977,0.222
-9.341,0.187
-11.525,0.246
-5.004,0.0534
-10.821,0.306
-5.587,0.112
-3.61,0.138
-5.735,0.0769
-10.288,0.862
-8.231,0.0497
-4.336,0.0759
-4.389,0.137
-4.563,0.0141
-9.576,0.0482
-7.496,0.713
-4.54,0.128
-6.452,0.396
-5.981,0.0113
-6.843,0.405
-3.907,0.0077
-13.293,0.0476
-5.236,0.242
-8.416,0.0574
-4.106,0.0446
-5.721,0.00123
-9.042,0.912
-6.318,0.0181
-9.641,0.19
-8.207,0.739
-6.282,0.238
-3.469,0.123
-7.584,0.475
-5.43,0.0664
-10.0,0.516
-15.643,0.772
-10.015,0.663
-10.081,0.7
-18.565,0.252
-5.571,0.583
-5.182,0.756
-6.73,0.235
-11.721,0.957
-4.724,0.0309
-2.799,0.00881
-13.873,0.634
-6.82,0.0228
-5.833,0.308
-4.954,0.0697
-4.931,0.0391
-3.54,0.00027
-12.806,0.278
-5.917,0.0657
-7.232,0.536
-5.069,0.0221
-6.636,0.262
-9.158,0.422
-4.386,0.0102
-6.686,0.526
-11.192,0.598
-5.851,0.12
-3.386,0.379
-9.785,0.354
-5.946,0.00973
-10.944,0.388
-6.692,0.0293
-12.824,0.177
-3.733,0.157
-6.39,0.0318
-9.526,0.395
-5.648,0.188
-13.115,0.659
-7.214,0.354
-5.085,0.0302
-8.791,0.228
-3.807,0.145
-14.904,0.122
-6.019,0.0281
-8.129,0.784
-10.817,0.019
-5.405,0.00403
-4.39,0.019
-3.227,0.0921
-5.713,0.199
-11.023,0.684
-6.621,0.179
-8.065,0.299
-5.167,0.627
-9.977,0.373
-3.891,0.0885
-11.281,0.233
-6.335,0.16
-9.901,0.412
-5.844,0.102
-6.127,0.116
-4.343,0.476
-16.265,0.274
-7.116,0.555
-3.892,0.132
-2.871,0.0108
-6.836,0.437
-6.073,0.195
-7.138,0.00723
-11.498,0.244
-7.29,0.00808
-11.448,0.24
-6.104,0.31
-10.454,0.711
-6.908,0.614
-9.872,0.0921
-7.427,0.0434
-7.599,0.15
-4.696,0.245
-6.492,0.186
-9.771,0.869
-4.238,0.0308
-4.468,0.469
-6.707,0.506
-11.244,0.315
-4.794,0.137
-10.576,0.853
-4.58,0.385
-7.133,0.259
-4.266,0.0889
-6.358,0.0456
-3.714,0.0266
-5.164,0.0661
-9.866,0.078
-8.163,0.125
-2.506,0.738
-2.236,0.0808
-5.052,0.173
-4.943,0.47
-3.839,0.103
-5.883,0.0074
-3.687,0.225
-10.366,0.0955
-5.621,0.0082
-8.741,0.66
-13.062,0.632
-13.185,0.508
-14.963,0.114
-4.595,0.0263
-6.139,0.34
-7.181,0.388
-4.4,0.0263
-11.262,0.953
-14.788,0.447
-8.736,0.711
-7.027,0.216
-5.895,0.202
-5.83,0.13
-11.747,0.0543
-5.705,0.00198
-4.93,0.148
-8.495,0.573
-8.01,0.125
-5.135,0.0643
-5.818,0.214
-3.743,0.216
-11.168,0.794
-4.634,0.000283
-3.904,0.0327
-5.382,0.0724
-4.601,0.00823
-8.6,0.285
-7.061,0.0129
-10.872,0.743
-5.698,0.136
-11.383,0.902
-6.179,0.232
-6.432,0.199
-4.741,0.00212
-6.812,0.0762
-9.146,0.0427
-15.914,0.366
-4.519,0.131
-6.415,0.455
-10.46,0.948
-5.612,0.199
-8.072,0.347
-5.875,0.16
-3.921,0.15
-7.43,0.263
-2.637,0.252
-9.02,0.393
-6.73,0.0178
-8.283,0.516
-10.68,0.72
-7.55,0.599
-5.557,0.0136
-5.769,0.241
-6.315,0.00901
-11.52,0.748
-3.317,0.0328
-12.733,0.239
-5.482,0.000113
-5.618,0.61
-7.723,0.245
-11.466,0.795
-11.791,0.554
-11.261,0.00237
-6.829,0.19
-9.204,0.32
-8.172,0.798
-5.642,0.00483
-11.989,0.233
-13.968,0.794
-4.782,0.592
-6.395,0.284
-5.002,0.129
-7.547,0.0424
-10.324,0.573
-9.834,0.814
-6.248,0.312
-5.755,0.292
-9.491,0.81
-4.292,0.0963
-7.926,0.698
-17.501,0.826
-7.93,0.123
-15.67,0.713
-3.712,0.0404
-5.118,0.00884
-3.931,0.0392
-7.342,0.161
-5.251,0.0285
-11.954,0.724
-7.822,0.145
-5.796,0.00764
-8.658,0.0783
-5.888,0.432
-11.627,0.806
-5.441,0.00106
-12.71,0.0695
-5.704,0.273
-9.912,0.597
-7.734,0.753
-7.685,0.686
-4.838,0.00272
-6.049,0.396
-5.856,0.0327
-8.844,0.274
-5.438,0.0236
-9.858,0.404
-9.133,0.00252
-7.132,0.235
-10.592,0.00436
-8.229,0.0137
-6.712,0.0653
-12.725,0.902
-12.537,0.708
-11.418,0.807
-8.894,0.147
-9.491,0.123
-6.054,0.0238
-5.746,0.0992
-5.436,0.182
-2.542,0.00929
-10.942,0.906
-7.613,0.0204
-6.57,0.0501
-5.885,0.00788
-11.801,0.817
-11.66,0.265
-15.286,0.327
-5.194,0.0547
-13.833,0.795
-2.919,0.0723
-7.436,0.196
-8.065,0.3
-6.414,0.0406
-5.249,7.89e-05
-10.943,0.575
-4.397,0.48
-5.417,0.00403
-6.407,0.0103
-3.629,0.0212
-12.242,0.82
-6.576,0.00832
-3.169,0.00895
-6.886,0.8
-11.361,0.711
-5.54,5.96e-05
-5.721,0.000182
-9.342,0.619
-5.325,0.000203
-5.708,0.00664
-7.828,0.00817
-3.714,0.0714
-5.719,0.202
-4.966,0.0159
-4.153,0.0046
-3.908,0.000278
-2.336,0.0431
-9.362,0.42
-11.094,0.41
-4.927,0.0021
-6.169,0.178
-5.632,0.00163
-6.407,0.669
-6.26,0.00719
-9.579,0.782
-2.788,0.0021
-11.155,0.27
-2.885,0.000197
-8.627,0.0249
-5.438,0.0196
-3.719,0.000481
-5.732,0.874
-5.086,0.000376
